Track ID,Language,Summary,Explicit,Keywords,Mood 1,M1 Score,Mood 2,M2 Score,Mood 3,M3 Score,Mood 4,M4 Score,Mood 5,M5 Score,Theme 1,T1 Score,Theme 2,T2 Score,Theme 3,T3 Score,Theme 4,T4 Score,Theme 5,T5 Score
15 - Mikeym.mp3,English,"The lyrics explore themes of connection and self-identity amidst a backdrop of gaming culture and social interactions. The narrator expresses a desire for genuine relationships, contrasting superficiality with deeper emotional connections. There is a playful tone as the narrator navigates friendships, personal interests, and the complexities of modern communication. The lyrics reflect a mix of humor and introspection, highlighting the struggle to find authenticity in a world filled with distractions. The emotional landscape ranges from frustration to hope, emphasizing the importance of camaraderie and understanding in a chaotic environment.",Yes,"connection, gaming, identity, friendship, authenticity",playful,80,introspective,70,frustrated,60,hopeful,75,humorous,65,self-identity,85,social interaction,80,modern communication,70,friendship,90,gaming culture,75
16 - Filthy.wav,English,"The lyrics explore an intense and passionate relationship characterized by physical intimacy and emotional connection. The narrator expresses a deep desire for their partner, emphasizing the thrill and excitement of their encounters. The repeated use of the word ′filthy′ suggests a sense of abandon and rawness in their interactions, highlighting both pleasure and a hint of discomfort. The imagery evokes a feeling of urgency and a longing to explore each other′s boundaries. Overall, the song captures the exhilaration of love and lust, portraying a relationship that is both liberating and consuming.",Yes,"intimacy, passion, desire, connection, exploration",passionate,90,intense,85,excited,80,liberated,75,sensual,88,love,95,lust,90,exploration,80,connection,85,abandon,70
26 - Momentofexctasy.wav,English,"The lyrics explore a tumultuous relationship filled with desire and emotional conflict. The narrator expresses a mix of frustration and longing, acknowledging the pain of watching a partner leave while simultaneously reveling in their allure. Themes of physical attraction and the complexities of love are prevalent, as the narrator navigates feelings of both pleasure and heartache. The imagery evokes a sense of urgency and passion, highlighting the push and pull of intimacy. Ultimately, the song captures the raw emotions tied to love, lust, and the desire for connection amidst chaos.",Yes,"desire, relationship, intimacy, conflict, passion",passionate,85,frustrated,70,longing,80,intense,75,playful,60,love,90,heartbreak,75,sexuality,85,desire,80,conflict,70
06 - Camebackaroudnd.mp3,English,"The lyrics depict a journey of self-discovery and resilience amidst turmoil. The narrator reflects on feelings of being lost, grappling with pain and anger from the past. Through a metaphorical storm, they find strength and redemption, transforming their struggles into a source of empowerment. The imagery of sailing and navigating through challenges symbolizes the quest for identity and purpose. Ultimately, the song conveys a message of hope, emphasizing the importance of self-worth and the ability to rise above adversity, suggesting that even in darkness, one can find light and direction.",No,"resilience, self-discovery, redemption, empowerment, adversity",uplifting,85,reflective,75,determined,90,hopeful,80,introspective,70,self-discovery,90,overcoming adversity,85,redemption,80,identity,75,resilience,88
01 - Whatuwant.wav,English,"The lyrics explore the complexities of self-identity and the struggle between desires and needs. The narrator reflects on feelings of uncertainty and the search for meaning in life, questioning whether their understanding is spiritual or logical. They emphasize the importance of authenticity over societal expectations, suggesting that true fulfillment comes from recognizing one′s own needs rather than conforming to external pressures. The repeated inquiries about what one means highlight a deep introspection and a desire for clarity. Emotions of confusion, determination, and a quest for self-awareness permeate the song, creating a resonant narrative of personal growth.",No,"identity, self-discovery, authenticity, introspection, fulfillment",introspective,85,conflicted,70,determined,75,reflective,80,hopeful,65,self-identity,90,existentialism,80,desire vs need,85,spirituality,70,societal pressure,75
13 - Not Good Enough.mp3,English,"The lyrics explore themes of self-reflection and the struggle for understanding one′s identity amidst external perceptions. The narrator grapples with feelings of inadequacy and the pressure to conform to others′ expectations. Emotions of frustration and confusion are prevalent as they confront their own flaws and the complexities of interpersonal relationships. The song conveys a sense of vulnerability, highlighting the internal battle between self-acceptance and the desire for validation. Ultimately, it emphasizes the importance of recognizing one′s own worth and the challenges of navigating personal insecurities.",Yes,"self-reflection, identity, insecurity, relationships, vulnerability",frustration,80,vulnerability,75,confusion,70,introspection,85,defiance,60,self-acceptance,90,inadequacy,80,interpersonal conflict,70,identity crisis,85,emotional struggle,75
08 - Up All Night.wav,English,"The lyrics convey a journey of emotional highs and lows, reflecting on life′s lessons and the transformative power of love. The narrator expresses a sense of enlightenment through experiences, suggesting that challenges lead to personal growth. The repeated emphasis on feeling great and being in love highlights the joy and excitement that comes from deep connections. The imagery of staying up all night signifies a sense of longing and infatuation, capturing the essence of youthful passion. Overall, the song encapsulates the thrill of love and the lessons learned through life′s ups and downs.",No,"love, enlightenment, emotions, growth, passion",joyful,85,reflective,70,romantic,90,nostalgic,60,energetic,75,love,95,self-discovery,80,life lessons,70,youth,65,passion,90
10 - Be Nuter.wav,English,"The lyrics explore the struggle of self-identity and the pressure to conform to societal expectations. It conveys a sense of emotional turmoil, where the heart feels heavy with dark thoughts, yet there is a yearning for authenticity. The narrator encourages embracing one′s true self amidst confusion and external judgment. The imagery of stars and galaxies symbolizes hope and the search for a brighter future. Ultimately, the song reflects a journey towards self-acceptance and the realization that being true to oneself is essential for happiness.",No,"self-identity, authenticity, emotional turmoil, hope, societal pressure",reflective,80,hopeful,70,conflicted,60,introspective,75,encouraging,65,self-discovery,85,mental health,70,individuality,80,overcoming adversity,75,existential reflection,65
22 - The End.wav,English,"The lyrics convey a sense of frustration and defiance, reflecting on personal struggles and confrontations with others. The narrator grapples with feelings of betrayal and anger, questioning the worth of past relationships while asserting their own self-worth. The aggressive tone and explicit language emphasize a desire for liberation from negativity and a rejection of superficial connections. Emotions range from anger to confidence, showcasing a complex interplay of vulnerability and bravado. Ultimately, the lyrics depict a tumultuous journey of self-assertion amidst chaos and conflict.",Yes,"frustration, defiance, betrayal, self-worth, conflict",angry,85,defiant,90,frustrated,80,confident,75,rebellious,70,self-assertion,85,betrayal,80,conflict,90,relationships,70,personal struggle,75
12 - Pit What I Got.mp3,English,"The lyrics explore themes of personal struggle and transformation, reflecting on the emotional turmoil and confusion experienced in life. The narrator grapples with feelings of doubt and insanity, stemming from past experiences and the cost of their choices. There is a sense of urgency to find clarity and a way back to a sense of home and self. The imagery of a nomadic existence suggests a search for freedom and understanding amidst chaos. The emotional weight of lost relationships and the impact of substance use further complicate the narrator′s journey, creating a raw and introspective narrative.",Yes,"transformation, struggle, confusion, freedom, loss",introspective,85,anxious,75,conflicted,80,desperate,70,reflective,90,personal struggle,90,identity,80,substance use,70,relationships,85,self-discovery,75
